lou;0;10;2;1;1;bop
stangeland;0;10;5;1;1;corn
liro;0;10;15;1;1;money-fx
seattl;0;10;2;1;1;bop
tietmey;0;10;12;1;1;grain
chemlawn;0;10;10;1;1;gnp
wayn;0;9;5;0,954242509;0,954242509;corn
propon;0;9;5;0,954242509;0,954242509;corn
roldan;0;9;6;0,954242509;0,954242509;cpi
arabian;0;9;23;0,954242509;0,954242509;trade
inra;0;9;7;0,954242509;0,954242509;crude
glesk;0;9;4;0,954242509;0,954242509;coffee
kharg;0;9;23;0,954242509;0,954242509;trade
provinces;0;9;19;0,954242509;0,954242509;reserves
syeduzzaman;0;9;12;0,954242509;0,954242509;grain
denman;0;9;5;0,954242509;0,954242509;corn
arango;0;9;6;0,954242509;0,954242509;cpi
fnv;0;9;25;0,954242509;0,954242509;wheat
kwacha;0;9;23;0,954242509;0,954242509;trade
lightn;0;9;25;0,954242509;0,954242509;wheat
chipmak;0;9;4;0,954242509;0,954242509;coffee
width;0;9;2;0,954242509;0,954242509;bop
snyder;0;9;10;0,954242509;0,954242509;gnp
amselco;0;9;2;0,954242509;0,954242509;bop
avon;0;9;10;0,954242509;0,954242509;gnp
eshleman;0;9;6;0,954242509;0,954242509;cpi
lacomb;0;9;5;0,954242509;0,954242509;corn
newmont;0;9;2;0,954242509;0,954242509;bop
entr;0;9;19;0,954242509;0,954242509;reserves
fnsea;0;9;5;0,954242509;0,954242509;corn
kobena;0;9;7;0,954242509;0,954242509;crude
bolivian;0;9;4;0,954242509;0,954242509;coffee
heyman;0;9;10;0,954242509;0,954242509;gnp
lce;0;9;17;0,954242509;0,954242509;nat-gas
ldp;0;9;4;0,954242509;0,954242509;coffee
fatoil;0;9;1;0,954242509;0,954242509;acq
cert;0;9;22;0,954242509;0,954242509;sugar
purol;0;8;10;0,903089987;0,903089987;gnp
britannia;0;8;2;0,903089987;0,903089987;bop
kerin;0;8;9;0,903089987;0,903089987;earn
disclosed;0;8;10;0,903089987;0,903089987;gnp
grisanti;0;8;24;0,903089987;0,903089987;veg-oil
yergin;0;8;24;0,903089987;0,903089987;veg-oil
danforth;0;8;5;0,903089987;0,903089987;corn
